order,Species
Artiodactyla,Aepyceros_melampus
Artiodactyla,Alcelaphus_buselaphus
Artiodactyla,Alces_alces
Artiodactyla,Antilocapra_americana
Artiodactyla,Bison_bison
Artiodactyla,Camelus_dromedarius
Artiodactyla,Capra_ibex
Artiodactyla,Capreolus_capreolus
Artiodactyla,Cervus_elaphus
Artiodactyla,Cervus_nippon
Artiodactyla,Connochaetes_taurinus
Artiodactyla,Dama_dama
Artiodactyla,Damaliscus_pygargus
Artiodactyla,Gazella_dorcas
Artiodactyla,Giraffa_camelopardalis_thornicroftii
Artiodactyla,Hippopotamus_amphibius
Artiodactyla,Lama_glama
Artiodactyla,Madoqua_kirkii
Artiodactyla,Odocoileus_hemionus
Artiodactyla,Odocoileus_virginianus
Artiodactyla,Ovis_aries
Artiodactyla,Ovis_canadensis
Artiodactyla,Ovis_dalli
Artiodactyla,Rangifer_tarandus
Artiodactyla,Sus_scrofa
Artiodactyla,Sylvicapra_grimmia
Artiodactyla,Syncerus_caffer
Artiodactyla,Taurotragus_oryx
Carnivora,Bassariscus_astutus
Carnivora,Canis_latrans
Carnivora,Canis_lupus
Carnivora,Civettictis_civetta
Carnivora,Crocuta_crocuta
Carnivora,Cystophora_cristata
Carnivora,Enhydra_lutris
Carnivora,Felis_catus
Carnivora,Felis_chaus
Carnivora,Felis_silvestris
Carnivora,Galidia_elegans
Carnivora,Halichoerus_grypus
Carnivora,Herpestes_javanicus
Carnivora,Histriophoca_fasciata
Carnivora,Hyaena_brunnea
Carnivora,Hydrurga_leptonyx
Carnivora,Ictonyx_striatus
Carnivora,Leopardus_pardalis
Carnivora,Lontra_canadensis
Carnivora,Lynx_lynx
Carnivora,Lynx_rufus
Carnivora,Mephitis_mephitis
Carnivora,Mirounga_angustirostris
Carnivora,Mirounga_leonina
Carnivora,Mustela_erminea
Carnivora,Mustela_frenata
Carnivora,Mustela_nivalis
Carnivora,Neovison_vison
Carnivora,Nyctereutes_procyonoides
Carnivora,Pagophilus_groenlandicus
Carnivora,Panthera_leo
Carnivora,Panthera_onca
Carnivora,Panthera_pardus
Carnivora,Panthera_tigris
Carnivora,Phoca_vitulina
Carnivora,Procyon_lotor
Carnivora,Puma_concolor
Carnivora,Pusa_caspica
Carnivora,Pusa_hispida
Carnivora,Pusa_sibirica
Carnivora,Taxidea_taxus
Carnivora,Ursus_americanus
Carnivora,Ursus_arctos
Carnivora,Ursus_maritimus
Carnivora,Vulpes_vulpes
Carnivora,Zalophus_californianus
Carvivora,Acinonyx_jubatus
Carvivora,Ailuropoda_melanoleuca
Carvivora,Ailurus_fulgens
Carvivora,Arctocephalus_gazella
Carvivora,Callorhinus_ursinus
Cetacea,Balaenoptera_musculus
Cetacea,Balaenoptera_physalus
Cetacea,Delphinus_delphis
Cetacea,Eubalaena_australis
Cetacea,Neophocaena_phocaenoides
Cetacea,Physeter_catodon
Chiroptera,Artibeus_jamaicensis
Chiroptera,Cynopterus_sphinx
Chiroptera,Eptesicus_fuscus
Chiroptera,Lasionycteris_noctivagans
Chiroptera,Myotis_daubentonii
Chiroptera,Myotis_lucifugus
Chiroptera,Myotis_myotis
Chiroptera,Myotis_velifer
Chiroptera,Nyctalus_noctula
Chiroptera,Pipistrellus_pipistrellus
Chiroptera,Pipistrellus_subflavus
Chiroptera,Plecotus_auritus
Dasyuromorphia,Antechinus_agilis
Dasyuromorphia,Antechinus_stuartii
Dasyuromorphia,Dasyurus_geoffroii
Dasyuromorphia,Dasyurus_maculatus
Dasyuromorphia,Dasyurus_viverrinus
Dasyuromorphia,Planigale_gilesi
Dasyuromorphia,Sminthopsis_crassicaudata
Dasyuromorphia,Sminthopsis_macroura
Didelphimorphia,Caluromys_philander
Didelphimorphia,Didelphis_virginiana
Didelphimorphia,Monodelphis_domestica
Diprotodontia,Acrobates_pygmaeus
Diprotodontia,Bettongia_gaimardi
Diprotodontia,Bettongia_lesueur
Diprotodontia,Bettongia_penicillata
Diprotodontia,Lasiorhinus_latifrons
Diprotodontia,Macropus_agilis
Diprotodontia,Macropus_antilopinus
Diprotodontia,Macropus_fuliginosus
Diprotodontia,Macropus_giganteus
Diprotodontia,Macropus_parma
Diprotodontia,Macropus_robustus
Diprotodontia,Macropus_rufogriseus
Diprotodontia,Macropus_rufus
Diprotodontia,Petaurus_breviceps
Diprotodontia,Petrogale_xanthopus
Diprotodontia,Phascolarctos_cinereus
Diprotodontia,Potorous_tridactylus
Diprotodontia,Setonix_brachyurus
Diprotodontia,Tarsipes_rostratus
Diprotodontia,Thylogale_billardierii
Diprotodontia,Trichosurus_vulpecula
Erinaceomorpha,Erinaceus_europaeus
Eulipotyphla,Neomys_fodiens
Hyracoidea,Procavia_capensis
Lagomorpha,Lepus_americanus
Lagomorpha,Lepus_europaeus
Lagomorpha,Ochotona_princeps
Lagomorpha,Sylvilagus_floridanus
Peramelemorphia,Isoodon_macrourus
Peramelemorphia,Perameles_gunnii
Peramelemorphia,Perameles_nasuta
Perissodactyla,Diceros_bicornis
Perissodactyla,Equus_asinus
Perissodactyla,Equus_burchellii
Perissodactyla,Equus_zebra
Primates,Alouatta_palliata
Primates,Aotus_trivirgatus
Primates,Arctocebus_calabarensis
Primates,Ateles_geoffroyi
Primates,Callimico_goeldii
Primates,Callithrix_aurita
Primates,Callithrix_geoffroyi
Primates,Callithrix_jacchus
Primates,Callithrix_kuhlii
Primates,Callithrix_pygmaea
Primates,Cebus_albifrons
Primates,Cebus_apella
Primates,Cebus_capucinus
Primates,Chlorocebus_aethiops
Primates,Colobus_guereza
Primates,Colobus_polykomos
Primates,Daubentonia_madagascariensis
Primates,Erythrocebus_patas
Primates,Galago_moholi
Primates,Galago_senegalensis
Primates,Galago_zanzibaricus
Primates,Gorilla_gorilla
Primates,Hylobates_lar
Primates,Leontopithecus_rosalia
Primates,Loris_tardigradus
Primates,Macaca_arctoides
Primates,Macaca_fascicularis
Primates,Macaca_maura
Primates,Macaca_mulatta
Primates,Macaca_nemestrina
Primates,Macaca_radiata
Primates,Macaca_thibetana
Primates,Mandrillus_sphinx
Primates,Miopithecus_talapoin
Primates,Nasalis_larvatus
Primates,Nycticebus_coucang
Primates,Nycticebus_pygmaeus
Primates,Otolemur_crassicaudatus
Primates,Otolemur_garnettii
Primates,Pan_paniscus
Primates,Pan_troglodytes
Primates,Papio_anubis
Primates,Papio_cynocephalus
Primates,Papio_hamadryas
Primates,Pongo_abelii
Primates,Pongo_pygmaeus
Primates,Saguinus_nigricollis
Primates,Saguinus_oedipus
Primates,Saimiri_sciureus
Primates,Semnopithecus_entellus
Primates,Theropithecus_gelada
Primates,Varecia_rubra
Primates,Varecia_variegata
Proboscidea,Loxodonta_africana
Rodentia,Acomys_cahirinus
Rodentia,Ammospermophilus_leucurus
Rodentia,Ammospermophilus_nelsoni
Rodentia,Apodemus_flavicollis
Rodentia,Baiomys_taylori
Rodentia,Bandicota_indica
Rodentia,Beamys_hindei
Rodentia,Castor_fiber
Rodentia,Cavia_porcellus
Rodentia,Cricetus_cricetus
Rodentia,Cryptomys_hottentotus
Rodentia,Cynomys_ludovicianus
Rodentia,Dasymys_incomtus
Rodentia,Dicrostonyx_groenlandicus
Rodentia,Dipodomys_merriami
Rodentia,Dipodomys_spectabilis
Rodentia,Erethizon_dorsata
Rodentia,Geomys_bursarius
Rodentia,Gerbillurus_paeba
Rodentia,Glaucomys_sabrinus
Rodentia,Glaucomys_volans
Rodentia,Heterocephalus_glaber
Rodentia,Hydrochoeris_hydrochaeris
Rodentia,Hydromys_chrysogaster
Rodentia,Jaculus_jaculus
Rodentia,Lagostomus_maximus
Rodentia,Lagurus_lagurus
Rodentia,Marmota_flaviventris
Rodentia,Marmota_monax
Rodentia,Mastomys_natalensis
Rodentia,Meriones_unguiculatus
Rodentia,Mesocricetus_auratus
Rodentia,Microtus_agrestis
Rodentia,Microtus_arvalis
Rodentia,Microtus_californicus
Rodentia,Microtus_ochrogaster
Rodentia,Microtus_oeconomus
Rodentia,Microtus_pennsylvanicus
Rodentia,Microtus_pinetorum
Rodentia,Mus_musculus
Rodentia,Myocastor_coypus
Rodentia,Neotoma_albigula
Rodentia,Neotoma_cinerea
Rodentia,Neotoma_floridana
Rodentia,Neotoma_lepida
Rodentia,Neotoma_micropus
Rodentia,Neotoma_stephensi
Rodentia,Octodon_degus
Rodentia,Onychomys_leucogaster
Rodentia,Onychomys_torridus
Rodentia,Peromyscus_californicus
Rodentia,Peromyscus_crinitus
Rodentia,Peromyscus_gossypinus
Rodentia,Peromyscus_leucopus
Rodentia,Peromyscus_polionotus
Rodentia,Phodopus_sungorus
Rodentia,Praomys_jacksoni
Rodentia,Rattus_norvegicus
Rodentia,Rattus_rattus
Rodentia,Rhabdomys_pumilio
Rodentia,Sigmodon_hispidus
Rodentia,Spermophilus_beecheyi
Rodentia,Spermophilus_beldingi
Rodentia,Spermophilus_columbianus
Rodentia,Tamias_amoenus
Rodentia,Tamias_striatus
Rodentia,Tamiasciurus_hudsonicus
Scandentia,Tupaia_glis
Soricomorpha,Crocidura_russula
Soricomorpha,Sorex_araneus
Soricomorpha,Suncus_murinus
Soricomorpha,Talpa_europaea
